آ	N$آ+SG
موکلهای	N$موکل+PL EZ#PL COP2SG
موکلی	N$موکل+SG YEH#SG COP2SG
موکلیست	N$موکل+SG YEH COP3SG
موی	N$موی+SG*مو+SG COP2SG#SG EZ
مویان	N$موی+PL
مویانت	N$موی+PL PRO2SG
مویت	N$موی+SG PRO2SG*مو+SG PRO2SG
مویتان	N$موی+SG PRO2PL*مو+SG PRO2PL
موید	N$موید+SG*مو+SG COP2PL
مویدست	N$موید+SG COP3SG
مویدی	N$موید+SG YEH#SG COP2SG
مویز	N$مویز+SG
مویزست	N$مویز+SG COP3SG
مویزم	N$مویز+SG COP1SG#SG PRO1SG
مویزند	N$مویز+SG COP3PL
مویزی	N$مویز+SG YEH#SG COP2SG
مویست	N$موی+SG COP3SG
مویش	N$موی+SG PRO3SG*مو+SG PRO3SG
مویشان	N$موی+SG PRO3PL*مو+SG PRO3PL
مویم	N$موی+SG COP1SG#SG PRO1SG*مو+SG PRO1SG#SG COP1PL
مویمی	N$موی+SG PRO1SG COP2SG#SG PRO1SG YEH*مو+SG PRO1SG COP2SG#SG PRO1SG YEH
مویند	N$موی+SG COP3PL
مویه	N$مویه+SG
مویها	N$موی+PL
مویه‌های	N$مویه+PL EZ#PL COP2SG
مویه‌گر	N$مویه‌گر+SG
مویه‌گران	N$مویه‌گر+PL
مویه‌ی	N$مویه+SG COP2SG#SG EZ
مویی	N$موی+SG COP2SG#SG EZ*مو+SG YEH
موییت	N$موی+SG PRO2SG
موییست	N$مو+SG YEH COP3SG
موییش	N$موی+SG PRO3SG
موییم	N$موی+SG PRO1SG#SG COP1PL*مو+SG YEH COP1SG
موی‌ها	N$موی+PL
مچش	N$مچ+SG PRO3SG
مچشان	N$مچ+SG PRO3PL
مچم	N$مچ+SG COP1SG#SG PRO1SG
مژده	N$مژده+SG
مژده‌ئی	N$مژده+SG YEH
مژده‌اش	N$مژده+SG PRO3SG
مژده‌ای	N$مژده+SG COP2SG
مژده‌ست	N$مژده+SG COP3SG
مژده‌ها	N$مژده+PL
مژده‌هاست	N$مژده+PL COP3SG
مژده‌های	N$مژده+PL EZ#PL COP2SG
مژده‌ی	N$مژده+SG COP2SG#SG EZ
مژدگان	N$مژده+PL
مژدگانی	N$مژده+PL YEH#PL COP2SG
مژه	N$مژه+SG
مژه‌ات	N$مژه+SG PRO2SG
مژه‌اش	N$مژه+SG PRO3SG
مژه‌ام	N$مژه+SG COP1SG#SG PRO1SG
مژه‌ای	N$مژه+SG COP2SG
مژه‌ها	N$مژه+PL
مژه‌های	N$مژه+PL EZ#PL COP2SG
مژه‌ی	N$مژه+SG COP2SG#SG EZ
مژه‌یی	N$مژه+SG YEH
مژگان	N$مژه+PL*مژگان+SG
مژگانت	N$مژه+PL PRO2SG*مژگان+SG PRO2SG
مژگانست	N$مژه+PL COP3SG*مژگان+SG COP3SG
مژگانش	N$مژه+PL PRO3SG*مژگان+SG PRO3SG
مژگانم	N$مژه+PL PRO1SG#PL COP1SG*مژگان+SG COP1SG#SG PRO1SG
مژگانهاش	N$مژگان+PL PRO3SG
مژگانی	N$مژه+PL YEH#PL COP2SG*مژگان+SG YEH#SG COP2SG
مک	N$مک+SG
مکابره	N$مکابره+SG
مکاتبت	N$مکاتب+SG PRO2SG
مکار	N$مکار+SG
مکاران	N$مکار+PL
مکارانم	N$مکار+PL PRO1SG#PL COP1SG
مکارت	N$مکار+SG PRO2SG
مکارست	N$مکار+SG COP3SG
مکارشان	N$مکار+SG PRO3PL
مکارم	N$مکارم+SG*مکار+SG COP1SG#SG PRO1SG
مکارمها	N$مکارم+PL
مکاره	N$مکاره+SG
مکاره‌ای	N$مکاره+SG COP2SG
مکاری	N$مکار+SG YEH#SG COP2SG
مکارید	N$مکار+SG COP2PL
مکاریست	N$مکار+SG YEH COP3SG
مکاریم	N$مکار+SG COP1PL#SG YEH COP1SG
مکاریی	N$مکار+SG YEH COP2SG
مکاس	N$مکاس+SG
مکاسان	N$مکاس+PL
مکاسب	N$مکاسب+SG
مکافات	N$مکافات+SG
مکافاتت	N$مکافات+SG PRO2SG
مکافاتست	N$مکافات+SG COP3SG
مکافاتش	N$مکافات+SG PRO3SG
مکافاتم	N$مکافات+SG COP1SG#SG PRO1SG
مکافاتی	N$مکافات+SG YEH#SG COP2SG
مکالمات	N$مکالمه+PL*مکالمات+SG
مکان	N$مک+PL*مکان+SG
مکانت	N$مک+PL PRO2SG*مکان+SG PRO2SG*مکانت+SG
مکانرا	N$مک+PL POSTP*مکان+SG POSTP
مکانست	N$مک+PL COP3SG*مکان+SG COP3SG
مکانش	N$مک+PL PRO3SG*مکان+SG PRO3SG
مکانم	N$مک+PL PRO1SG#PL COP1SG*مکان+SG COP1SG#SG PRO1SG
مکانهای	N$مکان+PL EZ#PL COP2SG
مکانی	N$مک+PL YEH#PL COP2SG*مکان+SG YEH#SG COP2SG
مکانید	N$مک+PL COP2PL*مکان+SG COP2PL
مکانیست	N$مک+PL YEH COP3SG*مکان+SG YEH COP3SG
مکانیم	N$مک+PL YEH COP1SG#PL COP1PL*مکان+SG COP1PL#SG YEH COP1SG
مکان‌شان	N$مک+PL PRO3PL*مکان+SG PRO3PL
مکان‌ها	N$مکان+PL
مکاوحت	N$مکاوحت+SG
مکتب	N$مکتب+SG
مکتبت	N$مکتب+SG PRO2SG
مکتبست	N$مکتب+SG COP3SG
مکتبش	N$مکتب+SG PRO3SG
مکتبم	N$مکتب+SG COP1SG#SG PRO1SG
مکتبها	N$مکتب+PL
مکتبی	N$مکتب+SG YEH#SG COP2SG*مکتبی+SG
مکتب‌ها	N$مکتب+PL
مکتم	N$مک+SG PRO2SG COP1SG
مکتوب	N$مکتوب+SG
مکتوبست	N$مکتوب+SG COP3SG
مکتوبی	N$مکتوب+SG YEH#SG COP2SG
مکث	N$مکث+SG
مکثار	N$مکثار+SG
مکثی	N$مکث+SG YEH#SG COP2SG
مکحل	N$مکحل+SG
مکر	N$مکر+SG
مکران	N$مکران+SG*مکر+PL
مکرت	N$مکر+SG PRO2SG
مکرست	N$مکر+SG COP3SG
مکرش	N$مکر+SG PRO3SG
مکرشان	N$مکر+SG PRO3PL
مکرم	N$مکرم+SG*مکر+SG COP1SG#SG PRO1SG
مکرمات	N$مکرمه+PL
مکرماتت	N$مکرمه+PL PRO2SG
مکرمت	N$مکرم+SG PRO2SG*مکرمت+SG
مکرمتت	N$مکرمت+SG PRO2SG
مکرمتست	N$مکرم+SG PRO2SG COP3SG*مکرمت+SG COP3SG
مکرمتش	N$مکرمت+SG PRO3SG
مکرمتی	N$مکرم+SG PRO2SG YEH#SG PRO2SG COP2SG*مکرمت+SG YEH#SG COP2SG
مکرمش	N$مکرم+SG PRO3SG
مکرمه	N$مکرمه+SG
مکرمی	N$مکرم+SG YEH#SG COP2SG*مکر+SG PRO1SG COP2SG#SG PRO1SG YEH
مکرمیم	N$مکرم+SG COP1PL#SG YEH COP1SG*مکر+SG PRO1SG COP1PL#SG PRO1SG YEH COP1SG
مکرها	N$مکر+PL
مکرهاست	N$مکر+PL COP3SG
مکرهاش	N$مکر+PL PRO3SG
مکرهاشان	N$مکر+PL PRO3PL
مکرهای	N$مکر+PL EZ#PL COP2SG
مکروهی	N$مکروهی+SG
مکروهیش	N$مکروهی+SG PRO3SG
مکروهیم	N$مکروهی+SG COP1SG#SG PRO1SG
مکری	N$مکر+SG YEH#SG COP2SG
مکریست	N$مکر+SG YEH COP3SG
مکسب	N$مکسب+SG
مکسبست	N$مکسب+SG COP3SG
مکسبی	N$مکسب+SG YEH#SG COP2SG
مکست	N$مک+SG COP3SG
مکش	N$مک+SG PRO3SG*مکش+SG
مکشان	N$مک+SG PRO3PL*مکش+PL
مکشش	N$مکش+SG PRO3SG
مکشید	N$مک+SG PRO3SG COP2PL*مکش+SG COP2PL
مکش‌های	N$مکش+PL EZ#PL COP2SG
مکفوف	N$مکفوف+SG
مکمن	N$مکمن+SG
مکمنست	N$مکمن+SG COP3SG
مکمنی	N$مکمن+SG YEH#SG COP2SG
مکنت	N$مکنت+SG
مکنتش	N$مکنت+SG PRO3SG
مکنتی	N$مکنت+SG YEH#SG COP2SG
مکنون	N$مکنون+SG
مکنونات	N$مکنونات+SG
مکنونت	N$مکنون+SG PRO2SG
مکنونست	N$مکنون+SG COP3SG
مکنونم	N$مکنون+SG COP1SG#SG PRO1SG
مکنونی	N$مکنون+SG YEH#SG COP2SG
مکه	N$مکه+SG
مکه‌ام	N$مکه+SG COP1SG#SG PRO1SG
مکه‌ها	N$مکه+PL
مکه‌ی	N$مکه+SG COP2SG#SG EZ
مکون	N$مکون+SG
مکی	N$مک+SG YEH#SG COP2SG*مکی+SG
مکیان	N$مکی+PL
مکید	N$مکید+SG*مک+SG COP2PL
مکیدست	N$مکید+SG COP3SG
مکیدم	N$مکید+SG COP1SG#SG PRO1SG
مکیدی	N$مکید+SG YEH#SG COP2SG
مکیم	N$مک+SG COP1PL#SG YEH COP1SG*مکی+SG COP1SG#SG PRO1SG
مگس	N$مگس+SG
مگسان	N$مگس+PL
مگسانست	N$مگس+PL COP3SG
مگسانم	N$مگس+PL PRO1SG#PL COP1SG
مگسانند	N$مگس+PL COP3PL
مگست	N$مگس+SG PRO2SG
مگسست	N$مگس+SG COP3SG
مگسستی	N$مگس+SG COP2SG
مگسش	N$مگس+SG PRO3SG
مگسم	N$مگس+SG COP1SG#SG PRO1SG
مگسها	N$مگس+PL
مگسی	N$مگس+SG YEH#SG COP2SG
مگسیست	N$مگس+SG YEH COP3SG
مگس‌خواران	N$مگس‌خوار+PL
مگس‌ران	N$مگس‌ران+SG
مگس‌رانت	N$مگس‌ران+SG PRO2SG
مگس‌رانی	N$مگس‌ران+SG YEH#SG COP2SG
مگس‌ران‌ها	N$مگس‌ران+PL
مگس‌ها	N$مگس+PL
می	N$می+SG
میئیم	N$می+SG YEH COP1SG
میامینم	N$میامین+SG COP1SG#SG PRO1SG
میان	N$میان+SG*می+PL
میانان	N$میان+PL
میانت	N$میان+SG PRO2SG*می+PL PRO2SG
میانتان	N$میان+SG PRO2PL*می+PL PRO2PL
میانجی	N$میانجی+SG
میانجیست	N$میانجی+SG COP3SG
میانجیی	N$میانجی+SG COP2SG#SG EZ
میانداری	N$میانداری+SG
میانرا	N$میان+SG POSTP*می+PL POSTP
میانست	N$میان+SG COP3SG*می+PL COP3SG
میانستی	N$میان+SG COP2SG*می+PL COP2SG
میانش	N$میان+SG PRO3SG*می+PL PRO3SG
میانشان	N$میان+SG PRO3PL*می+PL PRO3PL
میانم	N$میان+SG COP1SG#SG PRO1SG*می+PL PRO1SG#PL COP1SG
میانند	N$میان+SG COP3PL*می+PL COP3PL
میانه	N$میانه+SG
میانها	N$میان+PL
میانهاشان	N$میان+PL PRO3PL
میانه‌ای	N$میانه+SG COP2SG
میانه‌ست	N$میانه+SG COP3SG
میانه‌ی	N$میانه+SG COP2SG#SG EZ
میانک	N$میانک+SG
میانکش	N$میانک+SG PRO3SG
میانگاه	N$میانگاه+SG
میانی	N$میان+SG YEH#SG COP2SG*می+PL YEH#PL COP2SG
میانیم	N$میان+SG COP1PL#SG YEH COP1SG*می+PL YEH COP1SG#PL COP1PL
میان‌بندش	N$میان‌بند+SG PRO3SG
میان‌تی	N$میان+SG PRO2SG YEH#SG PRO2SG COP2SG*می+PL PRO2SG YEH#PL PRO2SG COP2SG
میان‌شان	N$میان+SG PRO3PL*می+PL PRO3PL
میان‌ها	N$میان+PL
میاه	N$میاه+SG
میت	N$میت+SG*می+SG PRO2SG
میتراش	N$میترا+SG PRO3SG
میتراشم	N$میترا+SG PRO3SG COP1SG
میتراشیم	N$میترا+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL
میثاق	N$میثاق+SG
میثاقش	N$میثاق+SG PRO3SG
میثاقها	N$میثاق+PL
میثاقی	N$میثاق+SG YEH#SG COP2SG
میجو	N$میجو+SG
میجوئی	N$میجو+SG YEH
میجوشی	N$میجو+SG PRO3SG YEH#SG PRO3SG COP2SG
میجوشید	N$میجو+SG PRO3SG COP2PL
میجوی	N$میجو+SG COP2SG#SG EZ
میجوید	N$میجو+SG COP2PL
میجویم	N$میجو+SG PRO1SG#SG COP1PL
میجویی	N$میجو+SG YEH
میخ	N$میخ+SG
میخانه	N$میخانه+SG
میخانه‌ئی	N$میخانه+SG YEH
میخانه‌ام	N$میخانه+SG COP1SG#SG PRO1SG
میخانه‌اند	N$میخانه+SG COP3PL
میخانه‌ای	N$میخانه+SG COP2SG
میخانه‌ایم	N$میخانه+SG COP1PL
میخانه‌ها	N$میخانه+PL
میخانه‌ی	N$میخانه+SG COP2SG#SG EZ
میخت	N$میخ+SG PRO2SG
میخست	N$میخ+SG COP3SG
میخش	N$میخ+SG PRO3SG
میخشان	N$میخ+SG PRO3PL
میخم	N$میخ+SG COP1SG#SG PRO1SG
میخند	N$میخ+SG COP3PL
میخوار	N$میخوار+SG
میخواران	N$میخوار+PL
میخوارانند	N$میخوار+PL COP3PL
میخواری	N$میخوار+SG YEH#SG COP2SG
میخی	N$میخ+SG YEH#SG COP2SG
میخیست	N$میخ+SG YEH COP3SG
میخ‌ام	N$میخ+SG COP1SG
میدان	N$میدان+SG
میدانت	N$میدان+SG PRO2SG
میدانرا	N$میدان+SG POSTP
میدانست	N$میدان+SG COP3SG
میدانستم	N$میدان+SG COP1SG
میدانستی	N$میدان+SG COP2SG
میدانش	N$میدان+SG PRO3SG
میدانم	N$میدان+SG COP1SG#SG PRO1SG
میدانند	N$میدان+SG COP3PL
میدانها	N$میدان+PL
میدانگاه	N$میدانگاه+SG
میدانی	N$میدان+SG YEH#SG COP2SG
میدانیست	N$میدان+SG YEH COP3SG
میدانیم	N$میدان+SG COP1PL#SG YEH COP1SG
میدان‌ها	N$میدان+PL
میدان‌های	N$میدان+PL EZ#PL COP2SG
میر	N$میر+SG
میرآب	N$میرآب+SG
میرآخوری	N$میرآخور+SG YEH#SG COP2SG
میرا	N$می+SG POSTP
میراث	N$میراث+SG
میراثست	N$میراث+SG COP3SG
میراثش	N$میراث+SG PRO3SG
میراثهای	N$میراث+PL EZ#PL COP2SG
میراثی	N$میراث+SG YEH#SG COP2SG
میران	N$میر+PL*میران+SG
میرانت	N$میر+PL PRO2SG*میران+SG PRO2SG
میرانم	N$میر+PL PRO1SG#PL COP1SG*میران+SG COP1SG#SG PRO1SG
میرانند	N$میر+PL COP3PL*میران+SG COP3PL
میرانی	N$میر+PL YEH#PL COP2SG*میران+SG YEH#SG COP2SG
میرانید	N$میر+PL COP2PL*میران+SG COP2PL
میرانیم	N$میر+PL YEH COP1SG#PL COP1PL*میران+SG COP1PL#SG YEH COP1SG
میرایی	N$میرایی+SG
میرت	N$میر+SG PRO2SG
میرزا	N$میرزا+SG
میرزای	N$میرزا+SG COP2SG#SG EZ
میرست	N$میر+SG COP3SG
میرش	N$میر+SG PRO3SG
میرشبی	N$میرشب+SG YEH#SG COP2SG
میرشکاران	N$میرشکار+PL
میرم	N$میر+SG COP1SG#SG PRO1SG
میرمی	N$میر+SG PRO1SG COP2SG#SG PRO1SG YEH
میرمید	N$میر+SG PRO1SG COP2PL
میرند	N$میر+SG COP3PL
میرهاند	N$میر+PL COP3PL
میری	N$میر+SG YEH#SG COP2SG
میریست	N$میر+SG YEH COP3SG
میریم	N$میر+SG COP1PL#SG YEH COP1SG
میزاب	N$میزاب+SG
میزان	N$میزان+SG*میز+PL
میزانت	N$میزان+SG PRO2SG*میز+PL PRO2SG
میزانست	N$میزان+SG COP3SG*میز+PL COP3SG
میزانش	N$میزان+SG PRO3SG*میز+PL PRO3SG
میزانم	N$میزان+SG COP1SG#SG PRO1SG*میز+PL PRO1SG#PL COP1SG
میزانه	N$میزانه+SG
میزانی	N$میزان+SG YEH#SG COP2SG*میز+PL YEH#PL COP2SG
میزانیست	N$میزان+SG YEH COP3SG*میز+PL YEH COP3SG
میزانیم	N$میزان+SG COP1PL#SG YEH COP1SG*میز+PL YEH COP1SG#PL COP1PL
میزان‌ها	N$میزان+PL
میزبان	N$میزبان+SG
میزبانان	N$میزبان+PL
میزبانت	N$میزبان+SG PRO2SG
میزبانست	N$میزبان+SG COP3SG
میزبانم	N$میزبان+SG COP1SG#SG PRO1SG
میزبانند	N$میزبان+SG COP3PL
میزبانی	N$میزبان+SG YEH#SG COP2SG*میزبانی+SG
میزبانیم	N$میزبان+SG COP1PL#SG YEH COP1SG*میزبانی+SG COP1SG#SG PRO1SG
میزند	N$میز+SG COP3PL
میزی	N$میز+SG YEH#SG COP2SG
میزیست	N$میز+SG YEH COP3SG
میزیم	N$میز+SG COP1PL#SG YEH COP1SG
میست	N$می+SG COP3SG
میستان	N$میستان+SG
میستانی	N$میستان+SG YEH#SG COP2SG
میستی	N$می+SG COP2SG
میسره	N$میسره+SG
میش	N$میش+SG*می+SG PRO3SG
میشان	N$میش+PL*می+SG PRO3PL
میشت	N$میش+SG PRO2SG
میشست	N$میش+SG COP3SG*می+SG PRO3SG COP3SG
میشستم	N$میش+SG COP1SG*می+SG PRO3SG COP1SG
میشش	N$میش+SG PRO3SG
میشم	N$میش+SG COP1SG#SG PRO1SG*می+SG PRO3SG COP1SG
میشی	N$میش+SG YEH#SG COP2SG*می+SG PRO3SG YEH#SG PRO3SG COP2SG
میعاد	N$میعاد+SG
میعادت	N$میعاد+SG PRO2SG
میعادست	N$میعاد+SG COP3SG
میعادم	N$میعاد+SG COP1SG#SG PRO1SG
میعادند	N$میعاد+SG COP3PL
میعادی	N$میعاد+SG YEH#SG COP2SG
میغ	N$میغ+SG
میغت	N$میغ+SG PRO2SG
میغست	N$میغ+SG COP3SG
میغم	N$میغ+SG COP1SG#SG PRO1SG
میغی	N$میغ+SG YEH#SG COP2SG
میغ‌ها	N$میغ+PL
میقات	N$میقات+SG
میقاتش	N$میقات+SG PRO3SG
میقاتم	N$میقات+SG COP1SG#SG PRO1SG
میقاتی	N$میقات+SG YEH#SG COP2SG
میل	N$میل+SG
میلاد	N$میلاد+SG
میلادست	N$میلاد+SG COP3SG
میلادش	N$میلاد+SG PRO3SG
میلادی	N$میلاد+SG YEH#SG COP2SG
میلان	N$میل+PL*میلان+SG
میلانش	N$میل+PL PRO3SG*میلان+SG PRO3SG
میلت	N$میل+SG PRO2SG
میلست	N$میل+SG COP3SG
میلستم	N$میل+SG COP1SG
میلش	N$میل+SG PRO3SG
میلشان	N$میل+SG PRO3PL
میلم	N$میل+SG COP1SG#SG PRO1SG
میله	N$میله+SG
میلها	N$میل+PL
میلی	N$میل+SG YEH#SG COP2SG
میلیست	N$میل+SG YEH COP3SG*میلیس+SG PRO2SG
میل‌ها	N$میل+PL
میم	N$میم+SG*می+SG COP1SG#SG PRO1SG
میمانم	N$میم+PL PRO1SG#PL COP1SG*می+SG PRO1PL COP1SG
میمانی	N$میم+PL YEH#PL COP2SG*می+SG PRO1PL COP2SG#SG PRO1PL YEH
میمت	N$میم+SG PRO2SG
میمش	N$میم+SG PRO3SG
میمم	N$میم+SG COP1SG#SG PRO1SG*می+SG PRO1SG COP1SG
میمنت	N$میمنت+SG
میمند	N$میم+SG COP3PL*می+SG PRO1SG COP3PL
میمنه	N$میمنه+SG
میمنه‌ام	N$میمنه+SG COP1SG#SG PRO1SG
میمنه‌ست	N$میمنه+SG COP3SG
میمنه‌ها	N$میمنه+PL
میمون	N$میمون+SG
میمونت	N$میمون+SG PRO2SG
میمونست	N$میمون+SG COP3SG
میمونش	N$میمون+SG PRO3SG
میمونم	N$میمون+SG COP1SG#SG PRO1SG
میمونی	N$میمون+SG YEH#SG COP2SG
میمی	N$میم+SG YEH#SG COP2SG*می+SG PRO1SG COP2SG#SG PRO1SG YEH
مین	N$مین+SG
مینا	N$مینا+SG
مینائی	N$مینا+SG YEH
میناست	N$مینا+SG COP3SG
میناستی	N$مینا+SG COP2SG
میناش	N$مینا+SG PRO3SG
مینامی	N$مینا+SG PRO1SG COP2SG#SG PRO1SG YEH
میناها	N$مینا+PL
میناگر	N$میناگر+SG
میناگران	N$میناگر+PL
میناگرند	N$میناگر+SG COP3PL
میناگری	N$میناگر+SG YEH#SG COP2SG
میناگریست	N$میناگر+SG YEH COP3SG
مینای	N$مینا+SG COP2SG#SG EZ
مینایی	N$مینا+SG YEH
میند	N$می+SG COP3PL
مینشانی	N$مین+SG PRO3PL YEH#SG PRO3PL COP2SG
مینشست	N$مین+SG PRO3SG COP3SG
مینو	N$مینو+SG
مینوئی	N$مینو+SG YEH
مینوست	N$مینو+SG COP3SG
مینوش	N$مینو+SG PRO3SG
مینوشم	N$مینو+SG PRO3SG COP1SG
مینوشید	N$مینو+SG PRO3SG COP2PL
مینوشیم	N$مینو+SG PRO3SG YEH COP1SG#SG PRO3SG COP1PL
مینوی	N$مینو+SG COP2SG#SG EZ
میها	N$می+PL
میهای	N$می+PL EZ#PL COP2SG
میهایی	N$می+PL YEH
میهمان	N$میهمان+SG
میهمانان	N$میهمان+PL
میهمانت	N$میهمان+SG PRO2SG
میهمانست	N$میهمان+SG COP3SG
میهمانش	N$میهمان+SG PRO3SG
میهمانم	N$میهمان+SG COP1SG#SG PRO1SG
میهمانند	N$میهمان+SG COP3PL
میهمانهاست	N$میهمان+PL COP3SG
میهمانی	N$میهمان+SG YEH#SG COP2SG
میهمانیست	N$میهمان+SG YEH COP3SG
میوه	N$میوه+SG
میوه‌ات	N$میوه+SG PRO2SG
میوه‌اش	N$میوه+SG PRO3SG
میوه‌اند	N$میوه+SG COP3PL
میوه‌ای	N$میوه+SG COP2SG
میوه‌ت	N$میوه+SG PRO2SG
میوه‌ست	N$میوه+SG COP3SG
میوه‌ش	N$میوه+SG PRO3SG
میوه‌شان	N$میوه+SG PRO3PL
میوه‌فروش	N$میوه‌فروش+SG
میوه‌ها	N$میوه+PL
میوه‌هائی	N$میوه+PL YEH
میوه‌هائیست	N$میوه+PL YEH COP3SG
میوه‌هاست	N$میوه+PL COP3SG
میوه‌هاشان	N$میوه+PL PRO3PL
میوه‌های	N$میوه+PL EZ#PL COP2SG
میوه‌هایش	N$میوه+PL PRO3SG
میوه‌هایی	N$میوه+PL YEH
میوه‌ی	N$میوه+SG COP2SG#SG EZ
میوه‌یی	N$میوه+SG YEH
میکده	N$میکده+SG
میکده‌اش	N$میکده+SG PRO3SG
میکده‌ام	N$میکده+SG COP1SG#SG PRO1SG
میکده‌ای	N$میکده+SG COP2SG
میکده‌ایم	N$میکده+SG COP1PL
میکده‌ست	N$میکده+SG COP3SG
میکده‌ها	N$میکده+PL
میکده‌هاست	N$میکده+PL COP3SG
میکده‌ی	N$میکده+SG COP2SG#SG EZ
میگساری	N$میگساری+SG
میگساریم	N$میگساری+SG COP1SG#SG PRO1SG
میگو	N$میگو+SG
میگوئی	N$میگو+SG YEH
میگوئیم	N$میگو+SG YEH COP1SG
میگوی	N$میگو+SG COP2SG#SG EZ
میگوید	N$میگو+SG COP2PL
میگویم	N$میگو+SG PRO1SG#SG COP1PL
میگویی	N$میگو+SG YEH
میگوییم	N$میگو+SG YEH COP1SG
میی	N$می+SG COP2SG#SG EZ
میید	N$می+SG COP2PL
مییم	N$می+SG PRO1SG#SG COP1PL
مییی	N$می+SG YEH
می‌ام	N$می+SG COP1SG
می‌اند	N$می+SG COP3PL
می‌ای	N$می+SG COP2SG
می‌اید	N$می+SG COP2PL
می‌تان	N$می+SG PRO2PL
می‌تانند	N$می+SG PRO2PL COP3PL
می‌تند	N$می+SG PRO2SG COP3PL
می‌زده	N$می‌زده+SG
می‌زده‌ام	N$می‌زده+SG COP1SG#SG PRO1SG
می‌زده‌ای	N$می‌زده+SG COP2SG
می‌زده‌ست	N$می‌زده+SG COP3SG
می‌زدگانیم	N$می‌زده+PL YEH COP1SG#PL COP1PL
می‌شست	N$می+SG PRO3SG COP3SG
می‌شستم	N$می+SG PRO3SG COP1SG
می‌شستند	N$می+SG PRO3SG COP3PL
می‌شی	N$می+SG PRO3SG YEH#SG PRO3SG COP2SG
می‌فروش	N$می‌فروش+SG
می‌فروشان	N$می‌فروش+PL
می‌فروشت	N$می‌فروش+SG PRO2SG
می‌فروشستی	N$می‌فروش+SG COP2SG
می‌فروشم	N$می‌فروش+SG COP1SG#SG PRO1SG
می‌فروشند	N$می‌فروش+SG COP3PL
می‌فروشی	N$می‌فروشی+SG*می‌فروش+SG YEH#SG COP2SG
می‌فروشیم	N$می‌فروشی+SG COP1SG#SG PRO1SG*می‌فروش+SG COP1PL#SG YEH COP1SG
می‌مانم	N$می+SG PRO1PL COP1SG
می‌مانند	N$می+SG PRO1PL COP3PL
می‌مانی	N$می+SG PRO1PL COP2SG#SG PRO1PL YEH
می‌مانیم	N$می+SG PRO1PL YEH COP1SG#SG PRO1PL COP1PL
می‌مست	N$می+SG PRO1SG COP3SG
می‌ها	N$می+PL
می‌های	N$می+PL EZ#PL COP2SG
می‌پرست	N$می‌پرست+SG
می‌پرستان	N$می‌پرست+PL
می‌پرستم	N$می‌پرست+SG COP1SG#SG PRO1SG
می‌پرستند	N$می‌پرست+SG COP3PL
می‌پرستی	N$می‌پرست+SG YEH#SG COP2SG*می‌پرستی+SG
می‌پرستید	N$می‌پرست+SG COP2PL
می‌گسار	N$می‌گسار+SG
می‌گساران	N$می‌گسار+PL
می‌گساریست	N$می‌گسار+SG YEH COP3SG
می‌گساریم	N$می‌گسار+SG COP1PL#SG YEH COP1SG
نا	N$نا+SG
ناآشنا	N$ناآشنا+SG
ناآشنائی	N$ناآشنا+SG YEH
ناآشنایی	N$ناآشنایی+SG*ناآشنا+SG YEH
نائبات	N$نائبات+SG*نائبه+PL
نائبه	N$نائبه+SG
نائی	N$نا+SG YEH
نائیم	N$نا+SG YEH COP1SG
ناامنی‌ست	N$ناامنی+SG COP3SG
ناامیدی	N$ناامیدی+SG
ناامیدیست	N$ناامیدی+SG COP3SG
ناامیدیش	N$ناامیدی+SG PRO3SG
ناامیدیم	N$ناامیدی+SG COP1SG#SG PRO1SG
ناامیدیها	N$ناامیدی+PL
ناامیدی‌ت	N$ناامیدی+SG PRO2SG
ناامیدی‌ها	N$ناامیدی+PL
نااهل	N$نااهل+SG
نااهلان	N$نااهل+PL
نااهلانت	N$نااهل+PL PRO2SG
نااهلانمان	N$نااهل+PL PRO1PL
نااهلی	N$نااهل+SG YEH#SG COP2SG
ناایمنی	N$ناایمنی+SG
ناب	N$ناب+SG
نابالغی	N$نابالغی+SG
نابت	N$نابت+SG*ناب+SG PRO2SG
نابخرد	N$نابخرد+SG
نابخردان	N$نابخرد+PL
نابخردست	N$نابخرد+SG COP3SG
نابخردی	N$نابخردی+SG*نابخرد+SG YEH#SG COP2SG
نابخردیست	N$نابخردی+SG COP3SG*نابخرد+SG YEH COP3SG
نابرا	N$ناب+SG POSTP
نابسامانی	N$نابسامانی+SG
نابسامانیست	N$نابسامانی+SG COP3SG
نابست	N$ناب+SG COP3SG
نابستی	N$ناب+SG COP2SG
نابش	N$ناب+SG PRO3SG
نابشان	N$ناب+SG PRO3PL
نابغه	N$نابغه+SG
نابم	N$ناب+SG COP1SG#SG PRO1SG
نابند	N$ناب+SG COP3PL
نابکار	N$نابکار+SG
نابکاری	N$نابکار+SG YEH#SG COP2SG
نابی	N$ناب+SG YEH#SG COP2SG*نابی+SG
نابیست	N$ناب+SG YEH COP3SG*نابی+SG COP3SG
نابیم	N$ناب+SG COP1PL#SG YEH COP1SG*نابی+SG COP1SG#SG PRO1SG
نابینایی	N$نابینایی+SG
نات	N$نا+SG PRO2SG
ناتمامی	N$ناتمامی+SG
ناتمامیم	N$ناتمامی+SG COP1SG#SG PRO1SG
ناتندرستی	N$ناتندرستی+SG
ناتندرستیست	N$ناتندرستی+SG COP3SG
ناتوان	N$ناتو+PL
ناتوانت	N$ناتو+PL PRO2SG
