آباد	AJ$آباد+POS
معبودش	AJ$معبود+POS PRO3SG
معبودشان	AJ$معبود+POS PRO3PL
معبودی	AJ$معبود+POS YEH#POS COP2SG
معتاد	AJ$معتاد+POS
معتادند	AJ$معتاد+POS COP3PL
معتادی	AJ$معتاد+POS YEH#POS COP2SG
معتبر	AJ$معتبر+POS
معتبرست	AJ$معتبر+POS COP3SG
معتبرم	AJ$معتبر+POS PRO1SG#POS COP1SG
معتبرند	AJ$معتبر+POS COP3PL
معتبری	AJ$معتبر+POS YEH#POS COP2SG
معتدل	AJ$معتدل+POS
معتدلت	AJ$معتدل+POS PRO2SG
معتدلست	AJ$معتدل+POS COP3SG
معتدلش	AJ$معتدل+POS PRO3SG
معتدلم	AJ$معتدل+POS PRO1SG#POS COP1SG
معتدل‌تر	AJ$معتدل+COMP
معترض	AJ$معترض+POS
معترف	AJ$معترف+POS
معترفم	AJ$معترف+POS PRO1SG#POS COP1SG
معتزله	AJ$معتزله+POS
معتزلی	AJ$معتزل+POS YEH#POS COP2SG
معتصم	AJ$معتصم+POS
معتق	AJ$معتق+POS
معتقد	AJ$معتقد+POS
معتقدتر	AJ$معتقد+COMP
معتقدست	AJ$معتقد+POS COP3SG
معتقدم	AJ$معتقد+POS PRO1SG#POS COP1SG
معتقدی	AJ$معتقد+POS YEH#POS COP2SG
معتقیست	AJ$معتق+POS YEH COP3SG
معتل	AJ$معتل+POS
معتمد	AJ$معتمد+POS
معتمدی	AJ$معتمد+POS YEH#POS COP2SG
معجب	AJ$معجب+POS
معجبم	AJ$معجب+POS PRO1SG#POS COP1SG
معجبی	AJ$معجب+POS YEH#POS COP2SG
معجز	AJ$معجز+POS
معجزت	AJ$معجز+POS PRO2SG
معجزست	AJ$معجز+POS COP3SG
معجزش	AJ$معجز+POS PRO3SG
معجزشان	AJ$معجز+POS PRO3PL
معجزم	AJ$معجز+POS PRO1SG#POS COP1SG
معجزی	AJ$معجز+POS YEH#POS COP2SG
معجزیست	AJ$معجز+POS YEH COP3SG
معجزی‌ست	AJ$معجز+POS YEH COP3SG
معجم	AJ$معجم+POS
معجمست	AJ$معجم+POS COP3SG
معجون	AJ$معجون+POS
معجونی	AJ$معجون+POS YEH#POS COP2SG
معد	AJ$معد+POS
معدل	AJ$معدل+POS
معدلت	AJ$معدل+POS PRO2SG
معدنی	AJ$معدنی+POS
معدنیست	AJ$معدنی+POS COP3SG
معده‌ای	AJ$معده‌ای+POS
معدود	AJ$معدود+POS
معدودست	AJ$معدود+POS COP3SG
معدودی	AJ$معدود+POS YEH#POS COP2SG
معدوم	AJ$معدوم+POS
معدومم	AJ$معدوم+POS PRO1SG#POS COP1SG
معدومی	AJ$معدوم+POS YEH#POS COP2SG
معدومیست	AJ$معدوم+POS YEH COP3SG
معدی	AJ$معد+POS YEH#POS COP2SG*معدی+POS
معذور	AJ$معذور+POS
معذورت	AJ$معذور+POS PRO2SG
معذورست	AJ$معذور+POS COP3SG
معذورش	AJ$معذور+POS PRO3SG
معذورم	AJ$معذور+POS PRO1SG#POS COP1SG
معذورند	AJ$معذور+POS COP3PL
معذوری	AJ$معذور+POS YEH#POS COP2SG
معذوریم	AJ$معذور+POS COP1PL#POS YEH COP1SG
معذوری‌ام	AJ$معذور+POS YEH COP1SG
معرا	AJ$معرا+POS
معرب	AJ$معرب+POS
معرف	AJ$معرف+POS
معرفت	AJ$معرف+POS PRO2SG
معرفتست	AJ$معرف+POS PRO2SG COP3SG
معرفتم	AJ$معرف+POS PRO2SG COP1SG
معرفتند	AJ$معرف+POS PRO2SG COP3PL
معرفتی	AJ$معرف+POS PRO2SG YEH#POS PRO2SG COP2SG
معرفی	AJ$معرف+POS YEH#POS COP2SG
معروض	AJ$معروض+POS
معروف	AJ$معروف+POS
معروفت	AJ$معروف+POS PRO2SG
معروفست	AJ$معروف+POS COP3SG
معروفش	AJ$معروف+POS PRO3SG
معروفم	AJ$معروف+POS PRO1SG#POS COP1SG
معروفی	AJ$معروف+POS YEH#POS COP2SG
معروفیی	AJ$معروف+POS YEH COP2SG
معروف‌تر	AJ$معروف+COMP
معروف‌ترین	AJ$معروف+SUP
معزول	AJ$معزول+POS
معزولست	AJ$معزول+POS COP3SG
معزولش	AJ$معزول+POS PRO3SG
معزولم	AJ$معزول+POS PRO1SG#POS COP1SG
معزولی	AJ$معزول+POS YEH#POS COP2SG
معزولیست	AJ$معزول+POS YEH COP3SG
معزی	AJ$معزی+POS
معسر	AJ$معسر+POS
معسرم	AJ$معسر+POS PRO1SG#POS COP1SG
معشر	AJ$معشر+POS
معشری	AJ$معشر+POS YEH#POS COP2SG
معشوق	AJ$معشوق+POS
معشوقت	AJ$معشوق+POS PRO2SG
معشوقست	AJ$معشوق+POS COP3SG
معشوقش	AJ$معشوق+POS PRO3SG
معشوقم	AJ$معشوق+POS PRO1SG#POS COP1SG
معشوقند	AJ$معشوق+POS COP3PL
معشوقی	AJ$معشوق+POS YEH#POS COP2SG
معشوقیست	AJ$معشوق+POS YEH COP3SG
معشوقیم	AJ$معشوق+POS COP1PL#POS YEH COP1SG
معشوق‌تر	AJ$معشوق+COMP
معصوم	AJ$معصوم+POS
معصومست	AJ$معصوم+POS COP3SG
معصومند	AJ$معصوم+POS COP3PL
معصومه	AJ$معصومه+POS
معصومه‌ی	AJ$معصومه+POS EZ#POS COP2SG
معصومی	AJ$معصوم+POS YEH#POS COP2SG
معصومی‌ام	AJ$معصوم+POS YEH COP1SG
معطل	AJ$معطل+POS
معطلی	AJ$معطل+POS YEH#POS COP2SG
معطی	AJ$معطی+POS
معطیش	AJ$معطی+POS PRO3SG
معطیی	AJ$معطی+POS EZ#POS COP2SG
معظم	AJ$معظم+POS
معظمست	AJ$معظم+POS COP3SG
معظمی	AJ$معظم+POS YEH#POS COP2SG
معفو	AJ$معفو+POS
معقد	AJ$معقد+POS
معقرب	AJ$معقرب+POS
معقود	AJ$معقود+POS
معقودش	AJ$معقود+POS PRO3SG
معقول	AJ$معقول+POS
معقولت	AJ$معقول+POS PRO2SG
معقولست	AJ$معقول+POS COP3SG
معقولند	AJ$معقول+POS COP3PL
معقولی	AJ$معقول+POS YEH#POS COP2SG
معقول‌تر	AJ$معقول+COMP
معلا	AJ$معلا+POS
معلاست	AJ$معلا+POS COP3SG
معلای	AJ$معلا+POS EZ#POS COP2SG
معلایی	AJ$معلا+POS YEH
معلق	AJ$معلق+POS
معلقت	AJ$معلق+POS PRO2SG
معلقست	AJ$معلق+POS COP3SG
معلقی	AJ$معلق+POS YEH#POS COP2SG
معلم	AJ$معلم+POS
معلمت	AJ$معلم+POS PRO2SG
معلمست	AJ$معلم+POS COP3SG
معلمی	AJ$معلم+POS YEH#POS COP2SG
معلول	AJ$معلول+POS
معلولی	AJ$معلول+POS YEH#POS COP2SG
معلوم	AJ$معلوم+POS
معلومت	AJ$معلوم+POS PRO2SG
معلومست	AJ$معلوم+POS COP3SG
معلومش	AJ$معلوم+POS PRO3SG
معلومم	AJ$معلوم+POS PRO1SG#POS COP1SG
معلومی	AJ$معلوم+POS YEH#POS COP2SG
معلوم‌ست	AJ$معلوم+POS COP3SG
معلی	AJ$معلی+POS
معماری	AJ$معماری+POS
معماریست	AJ$معماری+POS COP3SG
معماریی	AJ$معماری+POS EZ#POS COP2SG
معمایی	AJ$معمایی+POS
معماییست	AJ$معمایی+POS COP3SG
معمر	AJ$معمر+POS
معمرش	AJ$معمر+POS PRO3SG
معمری	AJ$معمر+POS YEH#POS COP2SG
معمور	AJ$معمور+POS
معمورت	AJ$معمور+POS PRO2SG
معمورتر	AJ$معمور+COMP
معمورترین	AJ$معمور+SUP
معمورست	AJ$معمور+POS COP3SG
معمورش	AJ$معمور+POS PRO3SG
معمورم	AJ$معمور+POS PRO1SG#POS COP1SG
معموره	AJ$معموره+POS
معموره‌ای	AJ$معموره+POS COP2SG
معموره‌ی	AJ$معموره+POS EZ#POS COP2SG
معموری	AJ$معمور+POS YEH#POS COP2SG
معموریی	AJ$معمور+POS YEH COP2SG
معمول	AJ$معمول+POS
معنایی	AJ$معنایی+POS
معنبر	AJ$معنبر+POS
معنبرست	AJ$معنبر+POS COP3SG
معنبرش	AJ$معنبر+POS PRO3SG
معنبرم	AJ$معنبر+POS PRO1SG#POS COP1SG
معنبری	AJ$معنبر+POS YEH#POS COP2SG
معنوی	AJ$معنوی+POS
معنویت	AJ$معنوی+POS PRO2SG
معنویست	AJ$معنوی+POS COP3SG
معنویش	AJ$معنوی+POS PRO3SG
معنی‌دار	AJ$معنی‌دار+POS
معنی‌دارش	AJ$معنی‌دار+POS PRO3SG
معهود	AJ$معهود+POS
معهودست	AJ$معهود+POS COP3SG
معهودش	AJ$معهود+POS PRO3SG
معکوس	AJ$معکوس+POS
معکوسست	AJ$معکوس+POS COP3SG
معکوسم	AJ$معکوس+POS PRO1SG#POS COP1SG
معکوسیست	AJ$معکوس+POS YEH COP3SG
معکوس‌اند	AJ$معکوس+POS COP3PL
معیل	AJ$معیل+POS
معین	AJ$معین+POS
معینت	AJ$معین+POS PRO2SG
معینست	AJ$معین+POS COP3SG
معینش	AJ$معین+POS PRO3SG
معینم	AJ$معین+POS PRO1SG#POS COP1SG
معینند	AJ$معین+POS COP3PL
معینی	AJ$معین+POS YEH#POS COP2SG
معیوب	AJ$معیوب+POS
معیوبش	AJ$معیوب+POS PRO3SG
معیوبی	AJ$معیوب+POS YEH#POS COP2SG
معیوبیی	AJ$معیوب+POS YEH COP2SG
مغ	AJ$مغ+POS
مغانه	AJ$مغانه+POS
مغانه‌ای	AJ$مغانه+POS COP2SG
مغانه‌ست	AJ$مغانه+POS COP3SG
مغانه‌ی	AJ$مغانه+POS EZ#POS COP2SG
مغاکی	AJ$مغاکی+POS
مغاکیست	AJ$مغاکی+POS COP3SG
مغایر	AJ$مغایر+POS
مغایرت	AJ$مغایر+POS PRO2SG
مغبون	AJ$مغبون+POS
مغبونم	AJ$مغبون+POS PRO1SG#POS COP1SG
مغبونی	AJ$مغبون+POS YEH#POS COP2SG
مغتم	AJ$مغ+POS PRO2SG COP1SG
مغتنم	AJ$مغتنم+POS
مغربی	AJ$مغربی+POS
مغربیش	AJ$مغربی+POS PRO3SG
مغرم	AJ$مغرم+POS
مغرور	AJ$مغرور+POS
مغرورست	AJ$مغرور+POS COP3SG
مغرورم	AJ$مغرور+POS PRO1SG#POS COP1SG
مغرورند	AJ$مغرور+POS COP3PL
مغروری	AJ$مغرور+POS YEH#POS COP2SG
مغروس	AJ$مغروس+POS
مغروسی	AJ$مغروس+POS YEH#POS COP2SG
مغزی	AJ$مغزی+POS
مغزیت	AJ$مغزی+POS PRO2SG
مغزیش	AJ$مغزی+POS PRO3SG
مغزیم	AJ$مغزی+POS PRO1SG#POS COP1SG
مغزینترم	AJ$مغزین+COMP COP1SG#COMP PRO1SG
مغشوش	AJ$مغشوش+POS
مغشوشیم	AJ$مغشوش+POS COP1PL#POS YEH COP1SG
مغضوب	AJ$مغضوب+POS
مغفور	AJ$مغفور+POS
مغفورست	AJ$مغفور+POS COP3SG
مغفوری	AJ$مغفور+POS YEH#POS COP2SG
مغلق	AJ$مغلق+POS
مغلقی	AJ$مغلق+POS YEH#POS COP2SG
مغلوب	AJ$مغلوب+POS
مغلوبست	AJ$مغلوب+POS COP3SG
مغلوبم	AJ$مغلوب+POS PRO1SG#POS COP1SG
مغلوبه	AJ$مغلوبه+POS
مغلوبی	AJ$مغلوب+POS YEH#POS COP2SG
مغلوبیست	AJ$مغلوب+POS YEH COP3SG
مغلوط	AJ$مغلوط+POS
مغلول	AJ$مغلول+POS
مغلی	AJ$مغلی+POS
مغموم	AJ$مغموم+POS
مغموم‌ترم	AJ$مغموم+COMP COP1SG#COMP PRO1SG
مغناطیسی	AJ$مغناطیسی+POS
مغولی	AJ$مغولی+POS
مغی	AJ$مغ+POS YEH#POS COP2SG
مغیث	AJ$مغیث+POS
مغیر	AJ$مغیر+POS
مفارق	AJ$مفارق+POS
مفارقت	AJ$مفارق+POS PRO2SG
مفت	AJ$مفت+POS
مفتح	AJ$مفتح+POS
مفتح‌الابواب	AJ$مفتح‌الابواب+POS
مفتخر	AJ$مفتخر+POS
مفترا	AJ$مفت+POS POSTP
مفترستم	AJ$مفترس+POS PRO2SG COP1SG
مفترض	AJ$مفترض+POS
مفترق	AJ$مفترق+POS
مفتست	AJ$مفت+POS COP3SG
مفتش	AJ$مفت+POS PRO3SG
مفتشان	AJ$مفت+POS PRO3PL
مفتضح	AJ$مفتضح+POS
مفتقر	AJ$مفتقر+POS
مفتن	AJ$مفتن+POS
مفتوح	AJ$مفتوح+POS
مفتول	AJ$مفتول+POS
مفتولت	AJ$مفتول+POS PRO2SG
مفتون	AJ$مفتون+POS
مفتونست	AJ$مفتون+POS COP3SG
مفتونش	AJ$مفتون+POS PRO3SG
مفتونم	AJ$مفتون+POS PRO1SG#POS COP1SG
مفتونی	AJ$مفتون+POS YEH#POS COP2SG
مفتونیست	AJ$مفتون+POS YEH COP3SG
مفتی	AJ$مفتی+POS*مفت+POS YEH#POS COP2SG
مفتیتان	AJ$مفتی+POS PRO2PL
مفتیی	AJ$مفتی+POS EZ#POS COP2SG*مفت+POS YEH COP2SG
مفتی‌اند	AJ$مفتی+POS COP3PL*مفت+POS YEH COP3PL
مفخر	AJ$مفخر+POS
مفخرت	AJ$مفخر+POS PRO2SG
مفخرش	AJ$مفخر+POS PRO3SG
مفخری	AJ$مفخر+POS YEH#POS COP2SG
مفخم	AJ$مفخم+POS
مفرح	AJ$مفرح+POS
مفرحی	AJ$مفرح+POS YEH#POS COP2SG
مفرد	AJ$مفرد+POS
مفردی	AJ$مفرد+POS YEH#POS COP2SG
مفرغ	AJ$مفرغ+POS
مفرق	AJ$مفرق+POS
مفروز	AJ$مفروز+POS
مفروش	AJ$مفروش+POS
مفروشم	AJ$مفروش+POS PRO1SG#POS COP1SG
مفروشید	AJ$مفروش+POS COP2PL
مفروض	AJ$مفروض+POS
مفسد	AJ$مفسد+POS
مفسدت	AJ$مفسد+POS PRO2SG
مفسدم	AJ$مفسد+POS PRO1SG#POS COP1SG
مفسدی	AJ$مفسد+POS YEH#POS COP2SG
مفسر	AJ$مفسر+POS
مفسری	AJ$مفسر+POS YEH#POS COP2SG
مفصل	AJ$مفصل+POS
مفصلی	AJ$مفصل+POS YEH#POS COP2SG*مفصلی+POS
مفقود	AJ$مفقود+POS
مفقودست	AJ$مفقود+POS COP3SG
مفلس	AJ$مفلس+POS
مفلست	AJ$مفلس+POS PRO2SG
مفلسست	AJ$مفلس+POS COP3SG
مفلسم	AJ$مفلس+POS PRO1SG#POS COP1SG
مفلسند	AJ$مفلس+POS COP3PL
مفلسی	AJ$مفلس+POS YEH#POS COP2SG
مفلسیست	AJ$مفلس+POS YEH COP3SG
مفلسیم	AJ$مفلس+POS COP1PL#POS YEH COP1SG
مفلسی‌ست	AJ$مفلس+POS YEH COP3SG
مفلوج	AJ$مفلوج+POS
مفلوجی	AJ$مفلوج+POS YEH#POS COP2SG
مفهوم	AJ$مفهوم+POS
مفوض	AJ$مفوض+POS
مفکر	AJ$مفکر+POS
مفید	AJ$مفید+POS
مقابل	AJ$مقابل+POS
مقابلت	AJ$مقابل+POS PRO2SG
مقابلش	AJ$مقابل+POS PRO3SG
مقابلم	AJ$مقابل+POS PRO1SG#POS COP1SG
مقابلی	AJ$مقابل+POS YEH#POS COP2SG
مقاتل	AJ$مقاتل+POS
مقارب	AJ$مقارب+POS
مقاربت	AJ$مقارب+POS PRO2SG
مقامی	AJ$مقامی+POS
مقامیست	AJ$مقامی+POS COP3SG
مقامیم	AJ$مقامی+POS PRO1SG#POS COP1SG
مقاوم	AJ$مقاوم+POS
مقاومت	AJ$مقاوم+POS PRO2SG
مقبل	AJ$مقبل+POS
مقبلترین	AJ$مقبل+SUP
مقبلست	AJ$مقبل+POS COP3SG
مقبلش	AJ$مقبل+POS PRO3SG
مقبلم	AJ$مقبل+POS PRO1SG#POS COP1SG
مقبلند	AJ$مقبل+POS COP3PL
مقبلی	AJ$مقبل+POS YEH#POS COP2SG
مقبلیست	AJ$مقبل+POS YEH COP3SG
مقبل‌ست	AJ$مقبل+POS COP3SG
مقبول	AJ$مقبول+POS
مقبولش	AJ$مقبول+POS PRO3SG
مقبولم	AJ$مقبول+POS PRO1SG#POS COP1SG
مقبولی	AJ$مقبول+POS YEH#POS COP2SG
مقبولیی	AJ$مقبول+POS YEH COP2SG
مقتبس	AJ$مقتبس+POS
مقتبسستی	AJ$مقتبس+POS COP2SG
مقتبسی	AJ$مقتبس+POS YEH#POS COP2SG
مقتصر	AJ$مقتصر+POS
مقتضاست	AJ$مقتضا+POS COP3SG
مقتضای	AJ$مقتضا+POS EZ#POS COP2SG
مقتضی	AJ$مقتضی+POS
مقتضیست	AJ$مقتضی+POS COP3SG
مقتول	AJ$مقتول+POS
مقتولش	AJ$مقتول+POS PRO3SG
مقتولم	AJ$مقتول+POS PRO1SG#POS COP1SG
مقتولی	AJ$مقتول+POS YEH#POS COP2SG
مقدر	AJ$مقدر+POS
مقدرت	AJ$مقدر+POS PRO2SG
مقدرست	AJ$مقدر+POS COP3SG
مقدرند	AJ$مقدر+POS COP3PL
مقدری	AJ$مقدر+POS YEH#POS COP2SG
مقدس	AJ$مقدس+POS
مقدست	AJ$مقدس+POS PRO2SG
مقدسی	AJ$مقدس+POS YEH#POS COP2SG
مقدم	AJ$مقدم+POS
مقدمت	AJ$مقدم+POS PRO2SG
مقدمست	AJ$مقدم+POS COP3SG
مقدمش	AJ$مقدم+POS PRO3SG
مقدمم	AJ$مقدم+POS PRO1SG#POS COP1SG
مقدمی	AJ$مقدم+POS YEH#POS COP2SG
مقدور	AJ$مقدور+POS
مقدورست	AJ$مقدور+POS COP3SG
مقدورش	AJ$مقدور+POS PRO3SG
مقدورم	AJ$مقدور+POS PRO1SG#POS COP1SG
مقدوری	AJ$مقدور+POS YEH#POS COP2SG
مقر	AJ$مقر+POS
مقرب	AJ$مقرب+POS
مقرر	AJ$مقرر+POS
مقررست	AJ$مقرر+POS COP3SG
مقررش	AJ$مقرر+POS PRO3SG
مقررم	AJ$مقرر+POS PRO1SG#POS COP1SG
مقرری	AJ$مقرر+POS YEH#POS COP2SG
مقرریست	AJ$مقرر+POS YEH COP3SG
مقرست	AJ$مقر+POS COP3SG
مقرم	AJ$مقر+POS PRO1SG#POS COP1SG
مقرند	AJ$مقر+POS COP3PL
مقرنس	AJ$مقرنس+POS
مقرون	AJ$مقرون+POS
مقرونت	AJ$مقرون+POS PRO2SG
مقرونست	AJ$مقرون+POS COP3SG
مقرونی	AJ$مقرون+POS YEH#POS COP2SG
مقری	AJ$مقر+POS YEH#POS COP2SG
مقریستی	AJ$مقر+POS YEH COP2SG
مقریم	AJ$مقر+POS COP1PL#POS YEH COP1SG
مقریی	AJ$مقر+POS YEH COP2SG
مقسم	AJ$مقسم+POS
مقسمت	AJ$مقسم+POS PRO2SG
مقسوم	AJ$مقسوم+POS
مقشر	AJ$مقشر+POS
مقصر	AJ$مقصر+POS
مقصرست	AJ$مقصر+POS COP3SG
مقصرم	AJ$مقصر+POS PRO1SG#POS COP1SG
مقصرند	AJ$مقصر+POS COP3PL
مقصریم	AJ$مقصر+POS COP1PL#POS YEH COP1SG
مقصور	AJ$مقصور+POS
مقصورست	AJ$مقصور+POS COP3SG
مقصوره	AJ$مقصوره+POS
مقصوره‌ی	AJ$مقصوره+POS EZ#POS COP2SG
مقطر	AJ$مقطر+POS
مقطع	AJ$مقطع+POS
مقطوع	AJ$مقطوع+POS
مقعر	AJ$مقعر+POS
مقعرش	AJ$مقعر+POS PRO3SG
مقفا	AJ$مقفا+POS
مقلب	AJ$مقلب+POS
مقلد	AJ$مقلد+POS
مقلوب	AJ$مقلوب+POS
مقلوبست	AJ$مقلوب+POS COP3SG
مقلوبی	AJ$مقلوب+POS YEH#POS COP2SG
مقنع	AJ$مقنع+POS
مقنعم	AJ$مقنع+POS PRO1SG#POS COP1SG
مقنن	AJ$مقنن+POS
مقهور	AJ$مقهور+POS
مقهورست	AJ$مقهور+POS COP3SG
مقوس	AJ$مقوس+POS
مقوله	AJ$مقوله+POS
مقوله‌ی	AJ$مقوله+POS EZ#POS COP2SG
مقویم	AJ$مقوی+POS PRO1SG#POS COP1SG
مقید	AJ$مقید+POS
مقیدست	AJ$مقید+POS COP3SG
مقیدم	AJ$مقید+POS PRO1SG#POS COP1SG
مقیدی	AJ$مقید+POS YEH#POS COP2SG
مقیدیم	AJ$مقید+POS COP1PL#POS YEH COP1SG
مقیم	AJ$مقیم+POS
مقیمت	AJ$مقیم+POS PRO2SG
مقیمست	AJ$مقیم+POS COP3SG
مقیمستی	AJ$مقیم+POS COP2SG
مقیمش	AJ$مقیم+POS PRO3SG
مقیمم	AJ$مقیم+POS PRO1SG#POS COP1SG
مقیمند	AJ$مقیم+POS COP3PL
مقیمی	AJ$مقیم+POS YEH#POS COP2SG
مقیمیم	AJ$مقیم+POS COP1PL#POS YEH COP1SG
مقیم‌اند	AJ$مقیم+POS COP3PL
ملا	AJ$ملا+POS
ملات	AJ$ملا+POS PRO2SG
ملاحی	AJ$ملاحی+POS
ملاحی‌ایم	AJ$ملاحی+POS COP1PL
ملازم	AJ$ملازم+POS
ملازمت	AJ$ملازم+POS PRO2SG
ملازمست	AJ$ملازم+POS COP3SG
ملازمیست	AJ$ملازم+POS YEH COP3SG
ملازم‌تر	AJ$ملازم+COMP
ملاست	AJ$ملا+POS COP3SG
ملاش	AJ$ملا+POS PRO3SG
ملاصق	AJ$ملاصق+POS
ملاطفت	AJ$ملاطف+POS PRO2SG
ملاعب	AJ$ملاعب+POS
ملام	AJ$ملا+POS PRO1SG#POS COP1SG
ملامت‌گر	AJ$ملامت‌گر+POS
ملامست	AJ$ملا+POS PRO1SG COP3SG
ملامیم	AJ$ملا+POS PRO1SG YEH COP1SG#POS PRO1SG COP1PL
ملای	AJ$ملا+POS EZ#POS COP2SG
ملایم	AJ$ملایم+POS*ملا+POS PRO1SG#POS COP1PL
ملایمت	AJ$ملایم+POS PRO2SG
ملایکه	AJ$ملا+POS COP2SG CONJ
ملایی	AJ$ملا+POS YEH
ملبس	AJ$ملبس+POS
ملتبس	AJ$ملتبس+POS
ملتجی	AJ$ملتجی+POS
ملتفت	AJ$ملتف+POS PRO2SG*ملتفت+POS
ملتفتم	AJ$ملتف+POS PRO2SG COP1SG*ملتفت+POS PRO1SG#POS COP1SG
ملتمس	AJ$ملتمس+POS
ملتمسی	AJ$ملتمس+POS YEH#POS COP2SG
ملتهب	AJ$ملتهب+POS
ملتوی	AJ$ملتوی+POS
ملتویست	AJ$ملتوی+POS COP3SG
ملحد	AJ$ملحد+POS
ملحدی	AJ$ملحد+POS YEH#POS COP2SG
ملحدیست	AJ$ملحد+POS YEH COP3SG
ملحق	AJ$ملحق+POS
ملحوظ	AJ$ملحوظ+POS
ملزم	AJ$ملزم+POS
ملزوم	AJ$ملزوم+POS
ملست	AJ$ملس+POS PRO2SG
ملعون	AJ$ملعون+POS
ملعونت	AJ$ملعون+POS PRO2SG
ملعونند	AJ$ملعون+POS COP3PL
ملعونی	AJ$ملعون+POS YEH#POS COP2SG
ملقب	AJ$ملقب+POS
ملمع	AJ$ملمع+POS
ملنگ	AJ$ملنگ+POS
ملهم	AJ$ملهم+POS
ملوث	AJ$ملوث+POS
ملول	AJ$ملول+POS
ملولت	AJ$ملول+POS PRO2SG
ملولتر	AJ$ملول+COMP
ملولست	AJ$ملول+POS COP3SG
ملولستی	AJ$ملول+POS COP2SG
ملولش	AJ$ملول+POS PRO3SG
ملولم	AJ$ملول+POS PRO1SG#POS COP1SG
ملولی	AJ$ملول+POS YEH#POS COP2SG
ملولید	AJ$ملول+POS COP2PL
ملولیست	AJ$ملول+POS YEH COP3SG
ملولیم	AJ$ملول+POS COP1PL#POS YEH COP1SG
ملول‌تر	AJ$ملول+COMP
ملون	AJ$ملون+POS
ملونست	AJ$ملون+POS COP3SG
ملونند	AJ$ملون+POS COP3PL
ملونی	AJ$ملون+POS YEH#POS COP2SG
ملوکانه	AJ$ملوکانه+POS
ملکوتی	AJ$ملکوتی+POS
ملکوتیم	AJ$ملکوتی+POS PRO1SG#POS COP1SG
ملکی	AJ$ملکی+POS
ملکیت	AJ$ملکی+POS PRO2SG
ملکیست	AJ$ملکی+POS COP3SG
ملی	AJ$ملی+POS
ملیح	AJ$ملیح+POS
ملیحست	AJ$ملیح+POS COP3SG
ملیحش	AJ$ملیح+POS PRO3SG
ملیحی	AJ$ملیح+POS YEH#POS COP2SG
ملیست	AJ$ملی+POS COP3SG
ملیم	AJ$ملی+POS PRO1SG#POS COP1SG
ملین	AJ$ملین+POS
مم	AJ$+POS PRO1SG COP1SG
مماتی	AJ$مماتی+POS
مماتیم	AJ$مماتی+POS PRO1SG#POS COP1SG
مماثل	AJ$مماثل+POS
مماس	AJ$مماس+POS
ممتاز	AJ$ممتاز+POS
ممتازست	AJ$ممتاز+POS COP3SG
ممتازش	AJ$ممتاز+POS PRO3SG
ممتازم	AJ$ممتاز+POS PRO1SG#POS COP1SG
ممتازند	AJ$ممتاز+POS COP3PL
ممتازی	AJ$ممتاز+POS YEH#POS COP2SG
ممتحن	AJ$ممتحن+POS
ممتحنش	AJ$ممتحن+POS PRO3SG
ممتحنم	AJ$ممتحن+POS PRO1SG#POS COP1SG
ممتحنند	AJ$ممتحن+POS COP3PL
ممتحنی	AJ$ممتحن+POS YEH#POS COP2SG
ممتحنید	AJ$ممتحن+POS COP2PL
ممتد	AJ$ممتد+POS
ممتلی	AJ$ممتلی+POS
ممتنع	AJ$ممتنع+POS
ممتنعت	AJ$ممتنع+POS PRO2SG
ممتنعی	AJ$ممتنع+POS YEH#POS COP2SG
ممثل	AJ$ممثل+POS
ممدوح	AJ$ممدوح+POS
ممدوحم	AJ$ممدوح+POS PRO1SG#POS COP1SG
ممدوحی	AJ$ممدوح+POS YEH#POS COP2SG
ممدود	AJ$ممدود+POS
ممدودست	AJ$ممدود+POS COP3SG
ممزوج	AJ$ممزوج+POS
ممزوجم	AJ$ممزوج+POS PRO1SG#POS COP1SG
ممسوخ	AJ$ممسوخ+POS
ممسک	AJ$ممسک+POS
ممسکت	AJ$ممسک+POS PRO2SG
ممسکی	AJ$ممسک+POS YEH#POS COP2SG
مملو	AJ$مملو+POS
مملوست	AJ$مملو+POS COP3SG
مملکتی	AJ$مملکتی+POS
ممنوع	AJ$ممنوع+POS
ممنوعست	AJ$ممنوع+POS COP3SG
ممنون	AJ$ممنون+POS
ممنونست	AJ$ممنون+POS COP3SG
ممنونم	AJ$ممنون+POS PRO1SG#POS COP1SG
ممهد	AJ$ممهد+POS
ممهدست	AJ$ممهد+POS COP3SG
ممکن	AJ$ممکن+POS
ممکنت	AJ$ممکن+POS PRO2SG
ممکنست	AJ$ممکن+POS COP3SG
ممکنم	AJ$ممکن+POS PRO1SG#POS COP1SG
ممکنند	AJ$ممکن+POS COP3PL
ممکنی	AJ$ممکن+POS YEH#POS COP2SG
ممکن‌اند	AJ$ممکن+POS COP3PL
ممیز	AJ$ممیز+POS
ممیزی	AJ$ممیز+POS YEH#POS COP2SG
منادی	AJ$منادی+POS
منادیت	AJ$منادی+POS PRO2SG
منازع	AJ$منازع+POS
منازعت	AJ$منازع+POS PRO2SG
منازعم	AJ$منازع+POS PRO1SG#POS COP1SG
مناسب	AJ$مناسب+POS
مناسبت	AJ$مناسب+POS PRO2SG
مناسب‌تر	AJ$مناسب+COMP
منافق	AJ$منافق+POS
منافقند	AJ$منافق+POS COP3PL
منافقی	AJ$منافق+POS YEH#POS COP2SG
منافق‌ترند	AJ$منافق+COMP COP3PL
منافی	AJ$منافی+POS
مناقض	AJ$مناقض+POS
