آ	N$آ+SG#
هنجاری	N$هنجار+SG YEH#SG COP2SG#
هنجاریم	N$هنجار+SG COP1PL#SG YEH COP1SG#
هند	N$هند+SG#
هندست	N$هند+SG COP3SG#
هندسه	N$هندسه+SG#
هندسه‌ای	N$هندسه+SG COP2SG#
هندسه‌ی	N$هندسه+SG EZ#SG COP2SG#
هندش	N$هند+SG PRO3SG#
هندو	N$هندو+SG#
هندوئی	N$هندو+SG YEH#
هندوئیست	N$هندو+SG YEH COP3SG#
هندوان	N$هندو+PL#
هندوانت	N$هندو+PL PRO2SG#
هندوانرا	N$هندو+PL POSTP#
هندوانند	N$هندو+PL COP3PL#
هندوانه	N$هندوانه+SG#
هندوانه‌ی	N$هندوانه+SG EZ#SG COP2SG#
هندوانی	N$هندو+PL YEH#PL COP2SG#
هندوست	N$هندو+SG COP3SG#
هندوستان	N$هندوستان+SG#
هندوستانست	N$هندوستان+SG COP3SG#
هندوستانش	N$هندوستان+SG PRO3SG#
هندوستانی	N$هندوستانی+SG#هندوستان+SG YEH#SG COP2SG#
هندوم	N$هندو+SG COP1SG#
هندوی	N$هندو+SG EZ#SG COP2SG#
هندویت	N$هندو+SG PRO2SG#
هندویش	N$هندو+SG PRO3SG#
هندویم	N$هندو+SG COP1PL#SG PRO1SG#
هندویی	N$هندو+SG YEH#
هندوییست	N$هندو+SG YEH COP3SG#
هندی	N$هندی+SG#هند+SG YEH#SG COP2SG#
هندیست	N$هندی+SG COP3SG#هند+SG YEH COP3SG#
هندیی	N$هندی+SG EZ#SG COP2SG#هند+SG YEH COP2SG#
هنر	N$هنر+SG#
هنرآموز	N$هنرآموز+SG#
هنرآموزی	N$هنرآموزی+SG#هنرآموز+SG YEH#SG COP2SG#
هنران	N$هنر+PL#
هنرت	N$هنر+SG PRO2SG#
هنرجوی	N$هنرجو+SG EZ#SG COP2SG#
هنرست	N$هنر+SG COP3SG#
هنرش	N$هنر+SG PRO3SG#
هنرم	N$هنر+SG PRO1SG#SG COP1SG#
هنرمند	N$هنر+SG PRO1SG COP3PL#
هنرمندی	N$هنرمندی+SG#
هنرمندیم	N$هنرمندی+SG COP1SG#
هنرند	N$هنر+SG COP3PL#
هنرها	N$هنر+PL#
هنرهاست	N$هنر+PL COP3SG#
هنرهای	N$هنر+PL COP2SG#PL EZ#
هنرهایی	N$هنر+PL YEH#
هنرپرور	N$هنرپرور+SG#
هنرپروران	N$هنرپرور+PL#
هنرپیشه	N$هنرپیشه+SG#
هنرپیشگان	N$هنرپیشه+PL#
هنری	N$هنر+SG YEH#SG COP2SG#
هنریست	N$هنر+SG YEH COP3SG#
هنریم	N$هنر+SG COP1PL#SG YEH COP1SG#
هنری‌ست	N$هنر+SG YEH COP3SG#
هنود	N$هندی+PL#هنود+SG#
هنگ	N$هنگ+SG#
هنگام	N$هنگام+SG#
هنگامت	N$هنگام+SG PRO2SG#
هنگامشان	N$هنگام+SG PRO3PL#
هنگامه	N$هنگامه+SG#
هنگامها	N$هنگام+PL#
هنگامه‌ات	N$هنگامه+SG PRO2SG#
هنگامه‌ای	N$هنگامه+SG COP2SG#
هنگامه‌ایم	N$هنگامه+SG COP1PL#
هنگامه‌جو	N$هنگامه‌جو+SG#
هنگامه‌ها	N$هنگامه+PL#
هنگامه‌هاست	N$هنگامه+PL COP3SG#
هنگامه‌ی	N$هنگامه+SG EZ#SG COP2SG#
هنگامی	N$هنگام+SG YEH#SG COP2SG#
هنگت	N$هنگ+SG PRO2SG#
هنگست	N$هنگ+SG COP3SG#
هنگش	N$هنگ+SG PRO3SG#
هنگی	N$هنگ+SG YEH#SG COP2SG#
هنگ‌ام	N$هنگ+SG COP1SG#
هوا	N$هوا+SG#
هوائی	N$هوا+SG YEH#
هوائیست	N$هوا+SG YEH COP3SG#
هواخواه	N$هواخواه+SG#
هواخواهی	N$هواخواهی+SG#
هوادار	N$هوادار+SG#
هواداران	N$هوادار+PL#
هوادارت	N$هوادار+SG PRO2SG#
هوادارم	N$هوادار+SG PRO1SG#SG COP1SG#
هواداری	N$هوادار+SG YEH#SG COP2SG#هواداری+SG#
هواداریم	N$هوادار+SG COP1PL#SG YEH COP1SG#هواداری+SG COP1SG#
هواداری‌م	N$هوادار+SG YEH COP1SG#هواداری+SG COP1SG#
هوارا	N$هوا+SG POSTP#
هوارانی	N$هوار+PL YEH#PL COP2SG#
هوارانیم	N$هوار+PL COP1PL#PL YEH COP1SG#
هواست	N$هوا+SG COP3SG#
هوام	N$هوا+SG COP1SG#هوام+SG#هامه+PL#هاله+PL#
هوامان	N$هوام+PL#
هوان	N$هوان+SG#
هوانست	N$هوان+SG COP3SG#
هوانی	N$هوان+SG YEH#SG COP2SG#
هواها	N$هوا+PL#
هواهای	N$هوا+PL COP2SG#PL EZ#
هواهایی	N$هوا+PL YEH#
هواپرست	N$هواپرست+SG#
هواپرستان	N$هواپرست+PL#
هواپرستی	N$هواپرستی+SG#هواپرست+SG YEH#SG COP2SG#
هواکش	N$هواکش+SG#
هواگیر	N$هواگیر+SG#
هواگیری	N$هواگیر+SG YEH#SG COP2SG#
هوای	N$هوا+SG EZ#SG COP2SG#
هوایت	N$هوا+SG PRO2SG#
هوایش	N$هوا+SG PRO3SG#
هوایم	N$هوا+SG COP1PL#SG PRO1SG#
هوایی	N$هوا+SG YEH#
هواییست	N$هوا+SG YEH COP3SG#
هواییم	N$هوا+SG YEH COP1SG#
هود	N$هود+SG#
هودج	N$هودج+SG#
هودجش	N$هودج+SG PRO3SG#
هودجی	N$هودج+SG YEH#SG COP2SG#
هودست	N$هود+SG COP3SG#
هودش	N$هود+SG PRO3SG#
هوز	N$هوز+SG#
هوزی	N$هوز+SG YEH#SG COP2SG#
هوس	N$هوس+SG#
هوسانند	N$هوس+PL COP3PL#
هوست	N$هوس+SG PRO2SG#
هوستان	N$هوس+SG PRO2PL#
هوسست	N$هوس+SG COP3SG#
هوسش	N$هوس+SG PRO3SG#
هوسم	N$هوس+SG PRO1SG#SG COP1SG#
هوسها	N$هوس+PL#
هوسهای	N$هوس+PL COP2SG#PL EZ#
هوسی	N$هوس+SG YEH#SG COP2SG#
هوسیست	N$هوس+SG YEH COP3SG#
هوسی‌ست	N$هوس+SG YEH COP3SG#
هوس‌ها	N$هوس+PL#
هوس‌های	N$هوس+PL COP2SG#PL EZ#
هوش	N$هوش+SG#
هوشان	N$هوش+PL#
هوشت	N$هوش+SG PRO2SG#
هوشست	N$هوش+SG COP3SG#
هوشش	N$هوش+SG PRO3SG#
هوششان	N$هوش+SG PRO3PL#
هوشم	N$هوش+SG PRO1SG#SG COP1SG#
هوشمند	N$هوشمند+SG#هوش+SG PRO1SG COP3PL#
هوشمندان	N$هوشمند+PL#
هوشمندست	N$هوشمند+SG COP3SG#
هوشمندش	N$هوشمند+SG PRO3SG#
هوشمندی	N$هوشمندی+SG#هوشمند+SG YEH#SG COP2SG#
هوشند	N$هوش+SG COP3PL#
هوشنگ	N$هوشنگ+SG#
هوشها	N$هوش+PL#
هوشهاست	N$هوش+PL COP3SG#
هوشی	N$هوش+SG YEH#SG COP2SG#
هوشیار	N$هوشیار+SG#
هوشیاران	N$هوشیار+PL#
هوشیارانرا	N$هوشیار+PL POSTP#
هوشیارانند	N$هوشیار+PL COP3PL#
هوشیارت	N$هوشیار+SG PRO2SG#
هوشیارش	N$هوشیار+SG PRO3SG#
هوشیارم	N$هوشیار+SG PRO1SG#SG COP1SG#
هوشیارند	N$هوشیار+SG COP3PL#
هوشیاری	N$هوشیاری+SG#هوشیار+SG YEH#SG COP2SG#
هوشیم	N$هوش+SG COP1PL#SG YEH COP1SG#
هوشیی	N$هوش+SG YEH COP2SG#
هوش‌ها	N$هوش+PL#
هول	N$هول+SG#
هولست	N$هول+SG COP3SG#
هولش	N$هول+SG PRO3SG#
هولم	N$هول+SG PRO1SG#SG COP1SG#
هولها	N$هول+PL#
هولی	N$هول+SG YEH#SG COP2SG#هولی+SG#
هوم	N$هوم+SG#
هومان	N$هوم+PL#هومان+SG#
هون	N$هون+SG#
هونم	N$هون+SG PRO1SG#SG COP1SG#
هونی	N$هون+SG YEH#SG COP2SG#
هوی	N$هوی+SG#
هویت	N$هویت+SG#
هویتش	N$هویت+SG PRO3SG#
هوید	N$هوید+SG#
هویدایی	N$هویدایی+SG#
هویدش	N$هوید+SG PRO3SG#
هویدی	N$هوید+SG YEH#SG COP2SG#
هویم	N$هوی+SG COP1SG#
هویی	N$هوی+SG EZ#SG COP2SG#
هوی‌ست	N$هوی+SG COP3SG#
هژبر	AJ$هژبر+POS#N$هژبر+SG#
هژبران	N$هژبر+PL#
هژبرانش	N$هژبر+PL PRO3SG#
هژبرانی	N$هژبر+PL YEH#PL COP2SG#
هژبری	AJ$هژبر+POS COP2SG#POS YEH#N$هژبر+SG YEH#SG COP2SG#
هژیر	AJ$هژیر+POS#N$هژیر+SG#
هژیران	N$هژیر+PL#
هژیرت	AJ$هژیر+POS PRO2SG#N$هژیر+SG PRO2SG#
هیأت	N$هیأت+SG#
هیاهوی	N$هیاهو+SG EZ#SG COP2SG#
هیجا	N$هیجا+SG#
هیجائی	N$هیجا+SG YEH#
هیجاست	N$هیجا+SG COP3SG#
هیجان	N$هیجان+SG#
هیجانست	N$هیجان+SG COP3SG#
هیجاها	N$هیجا+PL#
هیربد	N$هیربد+SG#
هیرمند	N$هیرمند+SG#
هیزم	N$هیزم+SG#
هیزمست	N$هیزم+SG COP3SG#
هیزمش	N$هیزم+SG PRO3SG#
هیزمی	N$هیزم+SG YEH#SG COP2SG#
هیزم‌کشان	N$هیزم‌کش+PL#
هیزم‌کشی	N$هیزم‌کش+SG YEH#SG COP2SG#
هیضه	N$هیضه+SG#
هیضه‌ی	N$هیضه+SG EZ#SG COP2SG#
هیلا	N$هیلا+SG#
هیمه	N$هیمه+SG#
هیمه‌ی	N$هیمه+SG EZ#SG COP2SG#
هیولا	N$هیولا+SG#
هیولای	N$هیولا+SG EZ#SG COP2SG#
هیولایی	N$هیولا+SG YEH#
هیولی	N$هیولی+SG#
هیون	N$هیون+SG#
هیونان	N$هیون+PL#
هیونی	N$هیون+SG YEH#SG COP2SG#
هیچ‌کاره	N$هیچ‌کاره+SG#
هیکل	N$هیکل+SG#
هیکلت	N$هیکل+SG PRO2SG#
هیکلست	N$هیکل+SG COP3SG#
هیکلش	N$هیکل+SG PRO3SG#
هیکلی	N$هیکل+SG YEH#SG COP2SG#
و	AJ$+CONJ POS#N$+CONJ SG#ناشنوائیان+CONJ PL#
وآئینه‌ی	N$آئینه+CONJ SG COP2SG#CONJ SG EZ#
وآب	N$آب+CONJ SG#
وآبی	AJ$آبی+CONJ POS#N$آبی+CONJ SG#آب+CONJ SG COP2SG#CONJ SG YEH#
وآتانی	N$آ+CONJ SG PRO2PL COP2SG#CONJ SG PRO2PL YEH#
وآتش	N$آتش+CONJ SG#
وآخر	AJ$آخر+CONJ POS#N$آخر+CONJ SG#
وآخرش	AJ$آخر+CONJ POS PRO3SG#N$آخر+CONJ SG PRO3SG#
وآخرین	AJ$آخرین+CONJ POS#
وآرام	AJ$آرام+CONJ POS#N$آرا+CONJ SG COP1SG#آرام+CONJ SG#رأی+CONJ PL COP1SG#
وآرایشست	N$آرا+CONJ SG PRO3SG COP3SG#آرایش+CONJ SG COP3SG#رأی+CONJ PL PRO3SG COP3SG#
وآرایشی	AJ$آرایشی+CONJ POS#N$آرا+CONJ SG PRO3SG YEH#CONJ SG PRO3SG COP2SG#آرایش+CONJ SG COP2SG#CONJ SG YEH#رأی+CONJ PL PRO3SG COP2SG#CONJ PL PRO3SG YEH#
وآز	N$آز+CONJ SG#
وآزاد	AJ$آزاد+CONJ POS#N$آزاد+CONJ SG#
وآزادگان	N$آزاده+CONJ PL#آزادگان+CONJ SG#
وآزار	N$آزار+CONJ SG#
وآزرم	N$آزرم+CONJ SG#
وآسانییم	AJ$آسان+CONJ POS YEH COP1PL#N$آسانی+CONJ SG COP1PL#CONJ SG PRO1SG#
وآسمان	N$آسم+CONJ PL#آسمان+CONJ SG#
وآشتی	N$آشتی+CONJ SG#آش+CONJ SG PRO2SG COP2SG#CONJ SG PRO2SG YEH#
وآشفته	AJ$آشفته+CONJ POS#N$آشفته+CONJ SG#
وآشوب	N$آشوب+CONJ SG#
وآغاز	N$آغاز+CONJ SG#
وآفتاب	N$آفتاب+CONJ SG#
وآفرین	N$آفرین+CONJ SG#
وآمد	N$آمد+CONJ SG#
وآن	N$آن+CONJ SG#
وآندم	N$آند+CONJ SG COP1SG#CONJ SG PRO1SG#
وآنرا	N$آن+CONJ SG POSTP#
وآنش	N$آن+CONJ SG PRO3SG#
وآنکه	N$آن+CONJ SG CONJ#
وآه	N$آه+CONJ SG#
وآهسته	AJ$آهسته+CONJ POS#
وآهن	N$آهن+CONJ SG#
وآهنگ	N$آهنگ+CONJ SG#
وآهو	N$آهو+CONJ SG#
وآواره	AJ$آواره+CONJ POS#N$آواره+CONJ SG#
وآواز	N$آواز+CONJ SG#
وآوازه‌ی	N$آوازه+CONJ SG COP2SG#CONJ SG EZ#
وآوای	N$آوا+CONJ SG COP2SG#CONJ SG EZ#آوای+CONJ SG#
وآورد	N$آورد+CONJ SG#
وآورده	AJ$آورده+CONJ POS#N$آورده+CONJ SG#
وآیتی	N$آیت+CONJ SG COP2SG#CONJ SG YEH#
وآید	N$آ+CONJ SG COP2PL#
وآیم	N$آ+CONJ SG COP1PL#CONJ SG YEH COP1SG#
وآیین	N$آیین+CONJ SG#
وئیم	AJ$+CONJ POS YEH COP1SG#N$+CONJ SG YEH COP1SG#ناشنوائیان+CONJ PL YEH COP1SG#
وا	AJ$وا+POS#
وائی	AJ$وا+POS YEH#
واب	N$اب+CONJ SG#
وابتداء	N$ابتداء+CONJ SG#
وابر	N$ابر+CONJ SG#
وابروی	N$ابروی+CONJ SG#ابرو+CONJ SG COP2SG#CONJ SG EZ#
وابری	AJ$ابری+CONJ POS#N$ابر+CONJ SG COP2SG#CONJ SG YEH#
وابسته	N$وابسته+SG#
وابسته‌ی	N$وابسته+SG EZ#SG COP2SG#
وابش	N$اب+CONJ SG PRO3SG#
وابل	N$ابل+CONJ SG#
وابلای	N$ابلا+CONJ SG COP2SG#CONJ SG EZ#
وابلهی	N$ابلهی+CONJ SG#
وابو	N$ابو+CONJ SG#
وابی	AJ$ابی+CONJ POS#N$اب+CONJ SG COP2SG#CONJ SG YEH#ابی+CONJ SG#
واتاقی	N$اتاق+CONJ SG COP2SG#CONJ SG YEH#
واتش	N$وات+SG PRO3SG#
واتشان	N$وات+SG PRO3PL#
واتشست	N$وات+SG PRO3SG COP3SG#
واتشم	N$وات+SG PRO3SG COP1SG#
واتم	AJ$اتم+CONJ POS#N$اتم+CONJ SG#وات+SG PRO1SG#SG COP1SG#
واثق	AJ$واثق+POS#N$واثق+SG#
واثقم	AJ$واثق+POS COP1SG#POS PRO1SG#N$واثق+SG PRO1SG#SG COP1SG#
واثقی	AJ$واثق+POS COP2SG#POS YEH#N$واثق+SG YEH#SG COP2SG#
واجب	AJ$واجب+POS#
واجبات	N$واجبات+SG#
واجبست	AJ$واجب+POS COP3SG#
واجبم	AJ$واجب+POS COP1SG#POS PRO1SG#
واجبی	AJ$واجبی+POS#واجب+POS COP2SG#POS YEH#
واجبیست	AJ$واجبی+POS COP3SG#واجب+POS YEH COP3SG#
واجب‌تر	AJ$واجب+COMP#
واجم	N$واج+SG PRO1SG#SG COP1SG#اجم+CONJ SG#
واجمع	AJ$اجمع+CONJ POS#
واجند	N$واج+SG COP3PL#
واجی	AJ$واجی+POS#N$واج+SG YEH#SG COP2SG#
واحد	AJ$واحد+POS#احد+CONJ POS#N$واحد+SG#احد+CONJ SG#
واحدست	AJ$واحد+POS COP3SG#احد+CONJ POS COP3SG#N$واحد+SG COP3SG#احد+CONJ SG COP3SG#
واحدش	AJ$واحد+POS PRO3SG#احد+CONJ POS PRO3SG#N$واحد+SG PRO3SG#احد+CONJ SG PRO3SG#
واحدم	AJ$واحد+POS COP1SG#POS PRO1SG#احد+CONJ POS COP1SG#CONJ POS PRO1SG#N$واحد+SG PRO1SG#SG COP1SG#احد+CONJ SG COP1SG#CONJ SG PRO1SG#
واحدند	AJ$واحد+POS COP3PL#احد+CONJ POS COP3PL#N$واحد+SG COP3PL#احد+CONJ SG COP3PL#
واحدی	AJ$واحد+POS COP2SG#POS YEH#احد+CONJ POS YEH#CONJ POS COP2SG#N$واحد+SG YEH#SG COP2SG#احد+CONJ SG COP2SG#CONJ SG YEH#
واحدیم	AJ$واحد+POS COP1PL#POS YEH COP1SG#احد+CONJ POS COP1PL#CONJ POS YEH COP1SG#N$واحد+SG COP1PL#SG YEH COP1SG#احد+CONJ SG COP1PL#CONJ SG YEH COP1SG#
واحرام	AJ$احرا+CONJ POS COP1SG#N$احرام+CONJ SG#حرم+CONJ PL#
واحسان	N$احسان+CONJ SG#
واحسنت	AJ$احسن+CONJ POS PRO2SG#N$احسنت+CONJ SG#
واحوال	N$احوال+CONJ SG#حال+CONJ PL#
واخ	N$اخ+CONJ SG#
واختر	N$اختر+CONJ SG#
واختران	N$اختر+CONJ PL#
واختیار	N$اختیار+CONJ SG#
واخرام	N$اخرا+CONJ SG COP1SG#
واخرم	N$اخرم+CONJ SG#
واخواست	N$واخواست+SG#
واخواستش	N$واخواست+SG PRO3SG#
واخواهی	N$واخواهی+SG#
واد	N$واد+SG#
وادار	N$وادار+SG#
وادارم	N$وادار+SG PRO1SG#SG COP1SG#
وادان	N$واد+PL#
وادی	N$وادی+SG#واد+SG YEH#SG COP2SG#
وادیست	N$وادی+SG COP3SG#واد+SG YEH COP3SG#
وادیها	N$وادی+PL#
وادیی	N$وادی+SG EZ#SG COP2SG#واد+SG YEH COP2SG#
وادییشان	N$وادی+SG PRO3PL#
وادییی	N$وادی+SG YEH#
وادی‌ای	N$وادی+SG COP2SG#واد+SG YEH COP2SG#
وارا	AJ$وا+POS POSTP#
وارت	N$ارت+CONJ SG#
وارث	N$ارث+CONJ SG#وارث+SG#
وارثان	N$ارث+CONJ PL#وارث+PL#
وارثانش	N$ارث+CONJ PL PRO3SG#وارث+PL PRO3SG#
وارثانم	N$ارث+CONJ PL COP1SG#CONJ PL PRO1SG#وارث+PL COP1SG#PL PRO1SG#
وارثست	N$ارث+CONJ SG COP3SG#وارث+SG COP3SG#
وارثم	N$ارث+CONJ SG COP1SG#CONJ SG PRO1SG#وارث+SG PRO1SG#SG COP1SG#
وارثی	AJ$ارثی+CONJ POS#N$ارث+CONJ SG COP2SG#CONJ SG YEH#وارث+SG YEH#SG COP2SG#
وارحم	AJ$ارحم+CONJ POS#
وارد	AJ$وارد+POS#N$ارد+CONJ SG#
واردات	N$واردات+SG#ارده+CONJ PL#
واردان	N$ارد+CONJ PL#
واردبیل	N$اردبیل+CONJ SG#
واردست	AJ$وارد+POS COP3SG#N$ارد+CONJ SG COP3SG#
واردی	AJ$وارد+POS COP2SG#POS YEH#N$ارد+CONJ SG COP2SG#CONJ SG YEH#اردی+CONJ SG#
واردیست	AJ$وارد+POS YEH COP3SG#N$ارد+CONJ SG YEH COP3SG#اردی+CONJ SG COP3SG#
وارزتان	N$ارز+CONJ SG PRO2PL#
وارسان	N$ارس+CONJ PL#وارس+PL#
وارست	N$ارس+CONJ SG PRO2SG#وارس+SG PRO2SG#
وارستم	N$ارس+CONJ SG PRO2SG COP1SG#وارس+SG PRO2SG COP1SG#
وارسته	AJ$وارسته+POS#N$وارسته+SG#
وارسته‌ایم	AJ$وارسته+POS COP1PL#N$وارسته+SG COP1PL#
وارسته‌ست	AJ$وارسته+POS COP3SG#N$وارسته+SG COP3SG#
وارستگان	N$وارسته+PL#
وارستگی	N$وارستگی+SG#
وارستی	N$ارس+CONJ SG PRO2SG COP2SG#CONJ SG PRO2SG YEH#وارس+SG PRO2SG COP2SG#SG PRO2SG YEH#
وارستیم	N$ارس+CONJ SG PRO2SG COP1PL#CONJ SG PRO2SG YEH COP1SG#وارس+SG PRO2SG YEH COP1SG#SG PRO2SG COP1PL#
وارش	N$ارش+CONJ SG#
وارشان	N$ارش+CONJ PL#
وارغوان	AJ$ارغوان+CONJ POS#
وارم	N$ارم+CONJ SG#
واره	N$اره+CONJ SG#
واره‌ی	N$اره+CONJ SG COP2SG#CONJ SG EZ#
وارو	AJ$وارو+POS#N$وارو+SG#
واروم	AJ$وارو+POS COP1SG#N$وارو+SG COP1SG#
وارون	AJ$وارون+POS#
وارونه	AJ$وارونه+POS#
وارونی	AJ$وارون+POS COP2SG#POS YEH#
وارکان	N$ارکان+CONJ SG#ارک+CONJ PL#رکن+CONJ PL#
وارگی	N$ارگ+CONJ SG COP2SG#CONJ SG YEH#
واز	AJ$+CONJ PREP POS#واز+POS#N$+CONJ PREP SG#ناشنوائیان+CONJ PREP PL#از+CONJ SG#
وازدست	AJ$وازد+POS COP3SG#N$دست+CONJ PREP SG#
وازدم	AJ$وازد+POS COP1SG#POS PRO1SG#N$دم+CONJ PREP SG#
وازر	N$ر+CONJ PREP SG#
وازعم	N$عم+CONJ PREP SG#
وازن	N$ازن+CONJ SG#
وازنند	N$ازن+CONJ SG COP3PL#
واسان	N$اس+CONJ PL#واس+PL#
واسب	N$اسب+CONJ SG#
واسباب	N$سبب+CONJ PL#اسباب+CONJ SG#
واسبان	N$اسب+CONJ PL#
واسبی	N$اسب+CONJ SG COP2SG#CONJ SG YEH#
واست	AJ$است+CONJ POS#وا+POS COP3SG#N$است+CONJ SG#اس+CONJ SG PRO2SG#واس+SG PRO2SG#
واستاد	AJ$استاد+CONJ POS#N$استاد+CONJ SG#
واستان	N$است+CONJ PL#اس+CONJ SG PRO2PL#استان+CONJ SG#واس+SG PRO2PL#
واستاند	N$استا+CONJ SG COP3PL#
واستانم	N$است+CONJ PL COP1SG#CONJ PL PRO1SG#اس+CONJ SG PRO2PL COP1SG#استان+CONJ SG COP1SG#CONJ SG PRO1SG#واس+SG PRO2PL COP1SG#
واستانی	N$است+CONJ PL YEH#CONJ PL COP2SG#اس+CONJ SG PRO2PL COP2SG#CONJ SG PRO2PL YEH#استان+CONJ SG COP2SG#CONJ SG YEH#واس+SG PRO2PL YEH#SG PRO2PL COP2SG#
واستانیم	N$است+CONJ PL COP1PL#CONJ PL YEH COP1SG#اس+CONJ SG PRO2PL YEH COP1SG#CONJ SG PRO2PL COP1PL#استان+CONJ SG COP1PL#CONJ SG YEH COP1SG#واس+SG PRO2PL YEH COP1SG#SG PRO2PL COP1PL#
واستتر	AJ$است+CONJ COMP#
واستی	AJ$است+CONJ POS YEH#CONJ POS COP2SG#N$است+CONJ SG COP2SG#CONJ SG YEH#اس+CONJ SG PRO2SG COP2SG#CONJ SG PRO2SG YEH#واس+SG PRO2SG COP2SG#SG PRO2SG YEH#استی+CONJ SG#
واسر	N$اسر+CONJ SG#اسیر+CONJ PL#
واسطه	AJ$واسطه+POS#N$واسطه+SG#
واسطه‌ای	AJ$واسطه+POS COP2SG#N$واسطه+SG COP2SG#
واسطه‌ست	AJ$واسطه+POS COP3SG#N$واسطه+SG COP3SG#
واسطه‌ها	N$واسطه+PL#
واسطه‌ی	AJ$واسطه+POS EZ#POS COP2SG#N$واسطه+SG EZ#SG COP2SG#
واسطی	AJ$واسط+POS COP2SG#POS YEH#N$واسط+SG YEH#SG COP2SG#
واسع	AJ$واسع+POS#
واسف	N$اسف+CONJ SG#
واسفند	N$اسفند+CONJ SG#اسف+CONJ SG COP3PL#
واسلم	AJ$اسلم+CONJ POS#N$اسلم+CONJ SG#اسل+CONJ SG COP1SG#CONJ SG PRO1SG#
واسما	N$اسم+CONJ PL#
واسمان	N$اس+CONJ SG PRO1PL#واس+SG PRO1PL#اسم+CONJ PL#
واسپ	N$اسپ+CONJ SG#
واسپان	N$اسپ+CONJ PL#
واش	N$واش+SG#
واشتلم	N$اشتلم+CONJ SG#
واشتکی	N$اشتک+CONJ SG COP2SG#CONJ SG YEH#
واشد	AJ$اشد+CONJ POS#N$واشد+SG#اشد+CONJ SG#
واشم	N$واش+SG PRO1SG#SG COP1SG#
واشهب	AJ$اشهب+CONJ POS#N$اشهب+CONJ SG#
واشکارش	N$اشکار+CONJ SG PRO3SG#
واشکم	N$اشک+CONJ SG COP1SG#CONJ SG PRO1SG#اشکم+CONJ SG#
واصف	N$اصف+CONJ SG#
واصفان	N$اصف+CONJ PL#
واصفی	AJ$اصفی+CONJ POS#N$اصف+CONJ SG COP2SG#CONJ SG YEH#
واصف‌اند	N$اصف+CONJ SG COP3PL#
واصل	AJ$اصل+CONJ POS#N$اصل+CONJ SG#
واصلاب	N$اصلاب+CONJ SG#صلب+CONJ PL#
واصلان	N$اصلان+CONJ SG#
واصلست	AJ$اصل+CONJ POS COP3SG#N$اصل+CONJ SG COP3SG#
واصلم	AJ$اصل+CONJ POS COP1SG#CONJ POS PRO1SG#اصلم+CONJ POS#N$اصل+CONJ SG COP1SG#CONJ SG PRO1SG#
واصلند	AJ$اصل+CONJ POS COP3PL#N$اصل+CONJ SG COP3PL#
واصلی	AJ$اصل+CONJ POS YEH#CONJ POS COP2SG#اصلی+CONJ POS#N$اصل+CONJ SG COP2SG#CONJ SG YEH#اصلی+CONJ SG#
واصل‌ست	AJ$اصل+CONJ POS COP3SG#N$اصل+CONJ SG COP3SG#
واضح	AJ$واضح+POS#
واضحش	AJ$واضح+POS PRO3SG#
واضحی	AJ$واضح+POS COP2SG#POS YEH#N$اضحی+CONJ SG#
واضع	N$واضع+SG#
واطلس	N$اطلس+CONJ SG#
واعداد	N$اعداد+CONJ SG#عدد+CONJ PL#
واعدای	N$عدو+CONJ PL EZ#CONJ PL COP2SG#
واعزاز	N$اعزاز+CONJ SG#
واعظ	N$واعظ+SG#
واعظان	N$واعظ+PL#
واعظت	N$واعظ+SG PRO2SG#
واعظی	N$واعظ+SG YEH#SG COP2SG#واعظی+SG#
واعظیم	N$واعظ+SG COP1PL#SG YEH COP1SG#واعظی+SG COP1SG#
وافاک	AJ$افاک+CONJ POS#
وافت	N$افت+CONJ SG#
وافتم	N$افت+CONJ SG COP1SG#CONJ SG PRO1SG#
وافر	N$وافر+SG#
وافراسیاب	N$افراسیاب+CONJ SG#
وافرت	N$وافر+SG PRO2SG#
وافرست	N$وافر+SG COP3SG#
وافرم	N$وافر+SG PRO1SG#SG COP1SG#
وافزاید	N$افزا+CONJ SG COP2PL#
وافزون	AJ$افزون+CONJ POS#N$افزون+CONJ SG#
وافسانه	N$افسانه+CONJ SG#
وافسانه‌ی	N$افسانه+CONJ SG COP2SG#CONJ SG EZ#
وافسر	N$افسر+CONJ SG#
وافسرت	N$افسر+CONJ SG PRO2SG#
وافسون	N$افسون+CONJ SG#
وافسونگران	N$افسونگر+CONJ PL#
وافغانم	N$افغان+CONJ SG COP1SG#CONJ SG PRO1SG#
وافق	N$افق+CONJ SG#
وافکند	N$افک+CONJ SG COP3PL#
وافی	AJ$وافی+POS#
وافیست	AJ$وافی+POS COP3SG#
وافی‌ترست	AJ$وافی+COMP COP3SG#
واق	N$اق+CONJ SG#واق+SG#
واقبال	N$اقبال+CONJ SG#
واقع	AJ$واقع+POS#
واقعات	N$واقعه+PL#واقعات+SG#
واقعاتی	N$واقعه+PL YEH#PL COP2SG#واقعات+SG YEH#SG COP2SG#
واقعست	AJ$واقع+POS COP3SG#
واقعه	N$واقعه+SG#
واقعه‌ام	N$واقعه+SG PRO1SG#SG COP1SG#
واقعه‌ای	N$واقعه+SG COP2SG#
واقعه‌ست	N$واقعه+SG COP3SG#
واقعه‌ی	N$واقعه+SG EZ#SG COP2SG#
واقعی	AJ$واقعی+POS#واقع+POS COP2SG#POS YEH#
واقف	AJ$واقف+POS#
واقفت	AJ$واقف+POS PRO2SG#
واقفست	AJ$واقف+POS COP3SG#
